"","date","BEN","CH4","CO","EBE","NMHC","NO","NO_2","NOx","O_3","PM10","PM25","SO_2","TCH","TOL","station","elevation"
"51793","2018-01-02 00:00:00",NA,NA,0.300000011920929,NA,NA,1,11,13,NA,NA,NA,1,NA,NA,28079004,635
"51794","2018-01-02 00:00:00",0.5,1.37999999523163,0.300000011920929,0.100000001490116,0.0199999995529652,4,34,41,46,6,4,2,1.39999997615814,0.800000011920929,28079008,670
"51795","2018-01-02 00:00:00",0.200000002980232,NA,NA,0.100000001490116,NA,5,40,48,NA,NA,NA,NA,NA,0.200000002980232,28079011,708
"51796","2018-01-02 00:00:00",NA,NA,0.300000011920929,NA,NA,3,35,39,37,NA,NA,NA,NA,NA,28079016,693
"51797","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,22,24,49,NA,NA,3,NA,NA,28079017,604
"51798","2018-01-02 00:00:00",0.200000002980232,NA,0.200000002980232,0.100000001490116,NA,1,12,14,66,5,NA,5,NA,0.300000011920929,28079018,630
"51799","2018-01-02 00:00:00",0.300000011920929,1.11000001430511,0.200000002980232,0.100000001490116,0.0199999995529652,1,2,4,74,7,2,3,1.12999999523163,0.200000002980232,28079024,642
"51800","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,23,24,48,NA,NA,NA,NA,NA,28079027,621
"51801","2018-01-02 00:00:00",NA,NA,0.400000005960464,NA,NA,2,22,25,33,NA,NA,6,NA,NA,28079035,659
"51802","2018-01-02 00:00:00",NA,NA,0.300000011920929,NA,NA,2,25,28,NA,15,NA,11,NA,NA,28079036,685
"51803","2018-01-02 00:00:00",0.300000011920929,NA,NA,0.200000002980232,NA,2,10,13,NA,3,1,3,NA,0.400000005960464,28079038,698
"51804","2018-01-02 00:00:00",NA,NA,0.200000002980232,NA,NA,3,16,20,60,NA,NA,NA,NA,NA,28079039,674
"51805","2018-01-02 00:00:00",NA,NA,NA,NA,NA,2,27,30,NA,16,NA,2,NA,NA,28079040,677
"51806","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,20,21,NA,10,7,NA,NA,NA,28079047,599
"51807","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,22,24,NA,7,4,NA,NA,NA,28079048,676
"51808","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,21,22,48,NA,NA,NA,NA,NA,28079049,662
"51809","2018-01-02 00:00:00",NA,NA,NA,NA,NA,11,26,43,NA,3,2,NA,NA,NA,28079050,728
"51810","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,11,13,51,NA,NA,NA,NA,NA,28079054,627
"51811","2018-01-02 00:00:00",0.600000023841858,1.16999995708466,NA,0.200000002980232,0.0299999993294477,1,24,25,NA,10,NA,NA,1.20000004768372,1.29999995231628,28079055,618
"51812","2018-01-02 00:00:00",NA,NA,0.200000002980232,NA,NA,13,24,44,55,NA,NA,NA,NA,NA,28079056,604
"51813","2018-01-02 00:00:00",NA,NA,0.200000002980232,NA,NA,1,9,10,NA,3,NA,1,NA,NA,28079057,700
"51814","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,2,4,78,NA,NA,NA,NA,NA,28079058,615
"51815","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,21,23,49,NA,NA,NA,NA,NA,28079059,660
"51816","2018-01-02 00:00:00",NA,NA,NA,NA,NA,1,11,12,NA,1,NA,NA,NA,NA,28079060,715
"51817","2018-01-02 01:00:00",NA,NA,0.300000011920929,NA,NA,1,13,15,NA,NA,NA,1,NA,NA,28079004,635
"51818","2018-01-02 01:00:00",0.5,1.38999998569489,0.300000011920929,0.100000001490116,0.0199999995529652,3,31,36,41,2,1,2,1.4099999666214,0.699999988079071,28079008,670
"51819","2018-01-02 01:00:00",0.300000011920929,NA,NA,0.100000001490116,NA,1,26,28,NA,NA,NA,NA,NA,0.400000005960464,28079011,708
"51820","2018-01-02 01:00:00",NA,NA,0.400000005960464,NA,NA,3,21,26,54,NA,NA,NA,NA,NA,28079016,693
